accessibility,locations,details
East Gate Accessible Entrance Accessible,"recSrRggjPGzzQcbq,rec1i8Kdcc0D0amvG","East Gate, 46 W 16th St. entrance accessible for Wheelchairs, Seniors and other differently abled"
Differently abled accessible,,
Wheelchair ramp available,"recqilX4P16x2hoSX,reckuFvar3hEeOngF",
Not wheelchair accessible,"rec3hjFAAdMkNLDit,recGQTSRE1KF9egNU,recUTiDcGzolOkyAJ,recq3G9kKw4rcOYZe,recaSwjRw0tuZm182,recd2YCN3sih3eR0O,recIKPCtvEqVyzbX0,recroG8ogZoxpzaGo,recKOqjdI2q6KkMnU",
Accessible,"recsn1jnHZxrmiUC4,recoyKfe64K15Ri43,recvCp1ArOjkqkD9J,recCkQ0AUnjy8d88o,recumQhND3CHLKJzi,recmt5fh67pUunIHD,recgqNva4ggxtHD9J,rec0NYGOMsh9HA2EN,rec4lIFEER6wDrKDB,reciBhZFheNLlrzDY,recrbc5Ub3d6qoKFh,recVYfhnHMw8E9JrL,recAAM3a6vrvCi6jT,recTlVAH9d0QBBuhK,recIptA0rGHybbjBr",Wheelchair and other differently abled access via ramp or direct entrance without stairs from street.
Sidewalk service available,recM6imMRRIHhOL6R,"Location is not accessible so pantry for differently abled guests provided at the street entrance. We, Sa, 14.30"
Accessible Mobile Van,"recFavjGOafq9EUj2,recYyJFY48lsyJfHt,rec8t1ZyIzfwqgtjz,recMzEJZ4qNUdJxDc,recjsj0FrHbX2Z5oG,rec5uveccPwi9eBPL,recwW8i8fP4i9KVoa",
Accessible sidewalk,"recWRzVZakmxpuaEl,recGcQNPlgYhoVWig,recMF16BjQ6Cmv9aG,recICXe3SV6StViUo,reccoz0c49iWLSHAC,rec7A120pcpBUUAul,recSY23zKufKncM8R,recl2O5LJMuBcJn8p,rec4DydDdSPlbWrKX,recYtN4Io4lL5gCkO",Mobile services provided at the sidewalk
ADA Wheelchair Compliant,rec0Wzr68Z7tNkIEL,
