id,services,locations,weekday,opens_at,closes_at
80,"rec8Vjyh5o1uWPypt,recqPT0b6zuSv0tCI",,6,10.00,11.00
81,recmAbJfXFa6cLrTz,,6,10.00,12.30
82,recEgOMee6XUHnffT,,1,18.30,19.30
83,rech0aaDF5tkrwuWl,rec0NYGOMsh9HA2EN,6,13.00,14.00
84,rech0aaDF5tkrwuWl,,6,15.00,16.00
85,reco4J5VfVzr4OUMO,,6,15.00,16.00
86,recTUdfsFaTBKDNIi,,1,16.00,17.00
87,"recmAbJfXFa6cLrTz,recltbLSdfhJJDMFq",recsn1jnHZxrmiUC4,"1,4",10.30,14.00
88,reclIgAEUH3tLN5yS,reckuFvar3hEeOngF,2,08.00,12.30
89,"recBpkU6mohjwbBhT,recUYmW1GCXzA20QZ,rec1zSZSiaf8Y8JFO,recKqP18PkRpXe0SI,rec84DboKPG9XfMcU",recmt5fh67pUunIHD,"2,3,4,5",17.00,21.00
90,recqaZdvCrWbihcZF,,"2,3,4,5,6",09.00,15.00
91,recGQ8ezEQI7PnFQW,,"2,3,4,5,6",09.00,17.00
92,recuiTCuAzgoV83KI,,"6,7",16.00,17.00
93,"recs9Wpz3snFfzVVO,rec5pfkntUYxCnKr4,rec6jtDhAUlUUcG0G,recUH86Og1lHstKl3",,"1,2,3,4,5,6,7",21.00,08.00
94,rec8RwvooIHDHZX76,recM6imMRRIHhOL6R,6,13.00,14.00
95,rec8RwvooIHDHZX76,recM6imMRRIHhOL6R,6,15.00,16.00
96,recJ2PDwH9X4YfgoT,recQVqA5zTDCkLMgD,3,10.00,12.00
97,,recq3G9kKw4rcOYZe,4,09.00,13.00
98,reclIgAEUH3tLN5yS,reckuFvar3hEeOngF,4,15.00,17.00
99,recZitVZFEdezx1kx,recPo4ayNN6FKT1q8,5,12.00,13.30
100,recrVPb3CVtch9JiM,recqh2aNb58cxi0NT,5,14.00,17.00
101,rec3AxPweDOvBRosE,recvTucDmFYUnGOig,2,15.00,17.00
102,recV4Zboux8gaOWOE,,1,10.00,12.00
103,recV4Zboux8gaOWOE,,4,10.30,12.00
