postal_codes,description,services
"10001,10002,10003,10009,10010,10011,10012,10013,10014,10016",,recP0wfmQPBksRnSZ
"10029,10035",,recTXTQn5SsKX0oWt
"10027,10030,10031,10032,10033,10034,10037,10039,10040",,recn7yX4u43hWXP0b
